Virus name	Genotype	Accession ID
hChikV/Cameroon/CPC-13V2/2013	II-ECSA	EPI_ISL_17455488
hChikV/Cameroon/CPC-13V1/2013	II-ECSA	EPI_ISL_17455489
hChikV/Chad/CPC-20V-14211/2020	II-ECSA	EPI_ISL_17455490
hChikV/Chad/CPC-20V-14210/2020	II-ECSA	EPI_ISL_17455491
hChikV/Mauritius/CEPR-D1355/2006	II-ECSA	EPI_ISL_17455494
hChikV/Mauritius/CEPR-D586/2006	II-ECSA	EPI_ISL_17455495
hChikV/Seychelles/CEPR-D933/2006	II-ECSA	EPI_ISL_17455496
hChikV/England/CEPR-00001/2006	II-ECSA	EPI_ISL_17455499
hChikV/Sri Lanka/CEPR-R233/2006	II-ECSA	EPI_ISL_17455501
hChikV/Congo/CU-19CG75/2019	II-ECSA	EPI_ISL_17455547
hChikV/Congo/CU-19CG94/2019	II-ECSA	EPI_ISL_17455548
hChikV/Congo/CU-19CG103/2019	II-ECSA	EPI_ISL_17455549
hChikV/Congo/CU-19CG01/2019	II-ECSA	EPI_ISL_17455550
hChikV/Congo/CU-19CG08/2019	II-ECSA	EPI_ISL_17455551
hChikV/Congo/CU-19CG59/2019	II-ECSA	EPI_ISL_17455552
hChikV/Congo/CU-19CG68/2019	II-ECSA	EPI_ISL_17455553
hChikV/Pakistan/WIV-03/2017	II-ECSA	EPI_ISL_17455568
hChikV/Thailand/CU-BK1049/2019	II-ECSA	EPI_ISL_17455578
hChikV/Thailand/CU-BK2714/2020	II-ECSA	EPI_ISL_17455580
hChikV/Thailand/CU-BK2821/2020	II-ECSA	EPI_ISL_17455581
hChikV/Thailand/CU-397/2013	II-ECSA	EPI_ISL_17455582
hChikV/Thailand/CU-435/2013	II-ECSA	EPI_ISL_17455586
hChikV/Thailand/CU-683/2009	II-ECSA	EPI_ISL_17455591
ChikV/mosquito/Thailand/CU-Chik_OBF/2009	II-ECSA	EPI_ISL_17455593
hChikV/Thailand/CU-009/2009	II-ECSA	EPI_ISL_17455598
hChikV/Thailand/CU-00010/2008	II-ECSA	EPI_ISL_17455599
hChikV/Thailand/CU-00028/2020	II-ECSA	EPI_ISL_17455604
hChikV/Thailand/CU-409/2013	II-ECSA	EPI_ISL_17455613
hChikV/Thailand/CU-406/2013	II-ECSA	EPI_ISL_17455614
hChikV/Thailand/CU-00023/2009	II-ECSA	EPI_ISL_17455637
hChikV/Thailand/CU-BK68/2013	II-ECSA	EPI_ISL_17455645
hChikV/Thailand/CU-BK57/2013	II-ECSA	EPI_ISL_17455647
hChikV/Thailand/CU-BK46/2013	II-ECSA	EPI_ISL_17455650
hChikV/Thailand/CU-BK63/2013	II-ECSA	EPI_ISL_17455655
hChikV/Thailand/CU-398/2013	II-ECSA	EPI_ISL_17455668
hChikV/Mauritius/CSIRO-06113879/2006	II-ECSA	EPI_ISL_17455725
hChikV/India/KL-DRDE-07/2007	II-ECSA	EPI_ISL_17455746
hChikV/India/un-DRDE-00026/2006	II-ECSA	EPI_ISL_17455756
hChikV/India/un-CSTM-0000001/2011	II-ECSA	EPI_ISL_17455778
hChikV/India/un-CSTM-0000007/2011	II-ECSA	EPI_ISL_17455782
hChikV/India/un-JH-280/2016	II-ECSA	EPI_ISL_17455791
hChikV/India/un-JH-00001/2016	II-ECSA	EPI_ISL_17455793
ChikV/mosquito/Italy/un-ISS-415193d3/2017	II-ECSA	EPI_ISL_17455794
hChikV/Italy/un-ISS-972_ad66c6ea/2017	II-ECSA	EPI_ISL_17455796
hChikV/Italy/un-ISS-989_56056124/2017	II-ECSA	EPI_ISL_17455798
hChikV/Italy/un-ISS-1011_96c2fba2/2017	II-ECSA	EPI_ISL_17455799
hChikV/Italy/un-ISS-1_15dc771b/2007	II-ECSA	EPI_ISL_17455803
hChikV/Italy/un-ISS-1028_a8527058/2017	II-ECSA	EPI_ISL_17455804
ChikV/mosquito/Italy/un-ISS-c2239b0d/2017	II-ECSA	EPI_ISL_17455806
hChikV/Italy/un-ISS-977_1be190cb/2017	II-ECSA	EPI_ISL_17455808
hChikV/Italy/un-ISS-2_db6be187/2007	II-ECSA	EPI_ISL_17455809
hChikV/Italy/un-ISS-991_5f297f49/2017	II-ECSA	EPI_ISL_17455812
hChikV/China/ZJ-CDCL-QZ0901/2017	II-ECSA	EPI_ISL_17455845
hChikV/China/ZJ-CDCL-QZ0823/2017	II-ECSA	EPI_ISL_17455846
hChikV/Malaysia/UM-3092151_9fe7e8e8/2020	II-ECSA	EPI_ISL_17455847
hChikV/Malaysia/UM-09_664a472c/2009	II-ECSA	EPI_ISL_17455848
hChikV/Malaysia/UM-09_ccd2f7a9/2009	II-ECSA	EPI_ISL_17455849
hChikV/Malaysia/UM-09_bcade004/2009	II-ECSA	EPI_ISL_17455850
hChikV/Malaysia/UM-3092435_ce4f3273/2020	II-ECSA	EPI_ISL_17455851
hChikV/Malaysia/UM-09_61f9470c/2009	II-ECSA	EPI_ISL_17455852
hChikV/Malaysia/UM-08_ed91ce9b/2008	II-ECSA	EPI_ISL_17455853
hChikV/China/BJ-CMU-YNRL3/2019	II-ECSA	EPI_ISL_17455869
hChikV/China/BJ-CMU-YNRL2/2019	II-ECSA	EPI_ISL_17455870
hChikV/China/BJ-CMU-YNRL1/2019	II-ECSA	EPI_ISL_17455871
hChikV/India/un-NIMHN-40C_b069be30/2019	II-ECSA	EPI_ISL_17455903
ChikV/mosquito/Thailand/DPFMCU-BK15501/2018	II-ECSA	EPI_ISL_17455924
ChikV/mosquito/Thailand/DPFMCU-BK15514/2018	II-ECSA	EPI_ISL_17455925
ChikV/mosquito/Thailand/DPFMCU-BK15507/2018	II-ECSA	EPI_ISL_17455926
ChikV/mosquito/Thailand/DPFMCU-BK15511/2018	II-ECSA	EPI_ISL_17455931
ChikV/mosquito/South Africa/UTMB-48c73c08/1976	II-ECSA	EPI_ISL_17455980
ChikV/mosquito/India/un-UTMB-2e3a2352/1986	II-ECSA	EPI_ISL_17455982
hChikV/South Africa/UTMB-3eb83ec9/1956	II-ECSA	EPI_ISL_17455983
hChikV/Central African Republic/UTMB-3ea4ab94/1978	II-ECSA	EPI_ISL_17455990
hChikV/Uganda/UTMB-4c152453/1982	II-ECSA	EPI_ISL_17455994
hChikV/Angola/UTMB-c9c20559/1962	II-ECSA	EPI_ISL_17455997
hChikV/Sri Lanka/UTMB-8043d771/2007	II-ECSA	EPI_ISL_17455999
ChikV/bat/Senegal/UTMB-2b69b1af/1963	II-ECSA	EPI_ISL_17456003
hChikV/USA/CA-UTMB-00012_2f5b13ca/2006	II-ECSA	EPI_ISL_17456007
hChikV/South Africa/UTMB-0aa0fdff/1976	II-ECSA	EPI_ISL_17456012
hChikV/Tanzania/UTMB-236adfcf/1953	II-ECSA	EPI_ISL_17456013
hChikV/Sri Lanka/UTMB-5e60ea75/2007	II-ECSA	EPI_ISL_17456017
hChikV/mosquito/Central African Republic/UTMB-280f2e3c/1984	II-ECSA	EPI_ISL_17456021
hChikV/DRC/UTMB-bf45350b/1960	II-ECSA	EPI_ISL_17456024
hChikV/India/AP-SVU-09_fafa8a72/2009	II-ECSA	EPI_ISL_17456080
hChikV/India/AP-SVU-08_15cc4d69/2008	II-ECSA	EPI_ISL_17456082
hChikV/India/AP-SVU-09_f286a671/2009	II-ECSA	EPI_ISL_17456083
hChikV/Brazil/AM-UO-6d205b50/2015	II-ECSA	EPI_ISL_17456090
hChikV/Brazil/AM-UO-7b9dd9b5/2015	II-ECSA	EPI_ISL_17456092
hChikV/Brazil/RR-UO-661408d3/2017	II-ECSA	EPI_ISL_17456098
hChikV/Brazil/AL-UO-8cf7439f/2016	II-ECSA	EPI_ISL_17456101
hChikV/Brazil/AM-UO-1a86aff4/2017	II-ECSA	EPI_ISL_17456107
hChikV/Brazil/AL-UO-a0672508/2016	II-ECSA	EPI_ISL_17456114
hChikV/Brazil/AM-UO-b4625b4b/2015	II-ECSA	EPI_ISL_17456117
hChikV/Brazil/AL-UO-c55873e9/2016	II-ECSA	EPI_ISL_17456118
hChikV/Brazil/AL-UO-e50c7416/2016	II-ECSA	EPI_ISL_17456119
hChikV/Brazil/AL-UO-61130fdc/2016	II-ECSA	EPI_ISL_17456124
hChikV/Brazil/AL-UO-2284bb10/2016	II-ECSA	EPI_ISL_17456125
hChikV/Brazil/AL-UO-42a873c0/2016	II-ECSA	EPI_ISL_17456126
hChikV/Brazil/un-UO-0b7cdf04/2016	II-ECSA	EPI_ISL_17456129
hChikV/India/un-CDC-00049/2016	II-ECSA	EPI_ISL_17456178
hChikV/Comoros/DVBID-00011/2005	II-ECSA	EPI_ISL_17456180
ChikV/un/Kenya/DVBID-00014/2004	II-ECSA	EPI_ISL_17456181
hChikV/Comoros/DVBID-00010/2005	II-ECSA	EPI_ISL_17456182
ChikV/un/Kenya/DVBID-00013/2004	II-ECSA	EPI_ISL_17456183
hChikV/Comoros/DVBID-00012/2005	II-ECSA	EPI_ISL_17456184
hChikV/Singapore/NEA-d3021781/2013	II-ECSA	EPI_ISL_17456208
hChikV/Sri Lanka/NEA-755f95b5/2008	II-ECSA	EPI_ISL_17456210
hChikV/Sri Lanka/NEA-169fb35e/2008	II-ECSA	EPI_ISL_17456211
hChikV/Singapore/NEA-eacbd6f6/2013	II-ECSA	EPI_ISL_17456212
hChikV/Singapore/NEA-b0663a7f/2013	II-ECSA	EPI_ISL_17456216
hChikV/Singapore/NEA-4e4a03b1/2013	II-ECSA	EPI_ISL_17456220
hChikV/Singapore/NEA-d9f0193a/2010	II-ECSA	EPI_ISL_17456229
hChikV/Sri Lanka/NEA-6505b6be/2008	II-ECSA	EPI_ISL_17456235
hChikV/Singapore/NEA-92f78887/2013	II-ECSA	EPI_ISL_17456246
hChikV/Singapore/NEA-1f26eaf2/2012	II-ECSA	EPI_ISL_17456249
hChikV/Singapore/NEA-fedadf35/2013	II-ECSA	EPI_ISL_17456255
hChikV/Sri Lanka/NEA-5839326f/2008	II-ECSA	EPI_ISL_17456258
hChikV/Sri Lanka/NEA-7c7316f6/2008	II-ECSA	EPI_ISL_17456260
hChikV/Singapore/NEA-6f428fa1/2008	II-ECSA	EPI_ISL_17456284
hChikV/Singapore/NEA-30edae92/2013	II-ECSA	EPI_ISL_17456325
hChikV/Singapore/NEA-94859042/2011	II-ECSA	EPI_ISL_17456328
hChikV/Singapore/NEA-f10a1484/2010	II-ECSA	EPI_ISL_17456329
hChikV/Singapore/NEA-d01c453d/2008	II-ECSA	EPI_ISL_17456338
hChikV/Singapore/NEA-6bdc14d7/2015	II-ECSA	EPI_ISL_17456340
hChikV/Singapore/NEA-e8cf59fb/2014	II-ECSA	EPI_ISL_17456341
hChikV/Singapore/NEA-0c14e7be/2014	II-ECSA	EPI_ISL_17456343
hChikV/Singapore/NEA-3312779c/2014	II-ECSA	EPI_ISL_17456345
hChikV/Singapore/NEA-55fdfd49/2009	II-ECSA	EPI_ISL_17456346
hChikV/Singapore/NEA-0ad0c034/2013	II-ECSA	EPI_ISL_17456347
hChikV/Singapore/NEA-8af4fc5f/2013	II-ECSA	EPI_ISL_17456348
hChikV/Singapore/NEA-1603e7c5/2008	II-ECSA	EPI_ISL_17456349
hChikV/Singapore/NEA-34176ccc/2010	II-ECSA	EPI_ISL_17456352
hChikV/Singapore/NEA-9c4889b3/2008	II-ECSA	EPI_ISL_17456353
hChikV/Sri Lanka/NEA-3379f182/2008	II-ECSA	EPI_ISL_17456362
hChikV/Singapore/NEA-c9749a77/2010	II-ECSA	EPI_ISL_17456370
hChikV/Singapore/NEA-cfebc4c0/2017	II-ECSA	EPI_ISL_17456371
hChikV/Singapore/NEA-6abd2925/2013	II-ECSA	EPI_ISL_17456384
hChikV/Singapore/NEA-9b79ec03/2010	II-ECSA	EPI_ISL_17456386
hChikV/Singapore/NEA-cfc0cb76/2008	II-ECSA	EPI_ISL_17456388
hChikV/Sri Lanka/NEA-dfcadf63/2008	II-ECSA	EPI_ISL_17456395
hChikV/Singapore/NEA-624d7e42/2014	II-ECSA	EPI_ISL_17456397
hChikV/Singapore/NEA-a6a6a131/2014	II-ECSA	EPI_ISL_17456399
hChikV/Singapore/NEA-dc73e564/2009	II-ECSA	EPI_ISL_17456400
hChikV/Singapore/NEA-ed7d29cb/2009	II-ECSA	EPI_ISL_17456401
hChikV/Singapore/NEA-58c15c59/2008	II-ECSA	EPI_ISL_17456402
hChikV/Singapore/NEA-06bfa76f/2013	II-ECSA	EPI_ISL_17456411
hChikV/Singapore/NEA-d3d4a397/2013	II-ECSA	EPI_ISL_17456413
hChikV/Singapore/NEA-79697e3c/2013	II-ECSA	EPI_ISL_17456415
hChikV/Singapore/NEA-c7c496d1/2013	II-ECSA	EPI_ISL_17456416
hChikV/Sri Lanka/NEA-c3d2c697/2008	II-ECSA	EPI_ISL_17456418
hChikV/Sri Lanka/NEA-a26956ce/2008	II-ECSA	EPI_ISL_17456424
hChikV/Sri Lanka/NEA-3f58deb0/2008	II-ECSA	EPI_ISL_17456426
hChikV/Singapore/NEA-41c3e70c/2013	II-ECSA	EPI_ISL_17456427
hChikV/Sri Lanka/NEA-e34a78eb/2008	II-ECSA	EPI_ISL_17456429
hChikV/Singapore/NEA-574bce45/2011	II-ECSA	EPI_ISL_17456430
hChikV/Singapore/NEA-90aa8185/2012	II-ECSA	EPI_ISL_17456431
hChikV/Singapore/NEA-1c95a668/2012	II-ECSA	EPI_ISL_17456433
hChikV/Sri Lanka/NEA-937e2d80/2008	II-ECSA	EPI_ISL_17456436
hChikV/Singapore/NEA-ff264481/2013	II-ECSA	EPI_ISL_17456471
hChikV/Singapore/NEA-2cae732a/2008	II-ECSA	EPI_ISL_17456574
hChikV/Sri Lanka/NEA-81cab80e/2007	II-ECSA	EPI_ISL_17456601
hChikV/Sri Lanka/NEA-d83344b3/2007	II-ECSA	EPI_ISL_17456602
hChikV/Singapore/NEA-32f7c09c/2008	II-ECSA	EPI_ISL_17456605
hChikV/Singapore/NEA-e66dec40/2008	II-ECSA	EPI_ISL_17456606
hChikV/Singapore/NEA-306da1df/2008	II-ECSA	EPI_ISL_17456607
hChikV/Singapore/NEA-542c9d9b/2008	II-ECSA	EPI_ISL_17456659
hChikV/Singapore/NEA-05db9aaa/2013	II-ECSA	EPI_ISL_17456661
ChikV/mosquito/Haiti/UF-00005/2016	II-ECSA	EPI_ISL_17456680
ChikV/mosquito/Haiti/UF-00004/2016	II-ECSA	EPI_ISL_17456681
hChikV/Brazil/BA-ECI-BHI3741/2014	II-ECSA	EPI_ISL_17456701
hChikV/Brazil/BA-ECI-BHI3734/2014	II-ECSA	EPI_ISL_17456703
hChikV/Brazil/BA-ECI-BHI3745/2014	II-ECSA	EPI_ISL_17456707
ChikV/mosquito/Brazil/un-ECI-843544/2017	II-ECSA	EPI_ISL_17456710
hChikV/Brazil/TO-UFT-8152d2b2/2021	II-ECSA	EPI_ISL_17456847
hChikV/Djibouti/IRBA-851966ad/2019	II-ECSA	EPI_ISL_17456858
hChikV/Brazil/RJ-Fiocruz-00027/2018	II-ECSA	EPI_ISL_17456859
hChikV/Brazil/MG-Fiocruz-00104/2017	II-ECSA	EPI_ISL_17456860
hChikV/Brazil/MT-Fiocruz-00063/2018	II-ECSA	EPI_ISL_17456862
hChikV/Brazil/MT-Fiocruz-00066/2018	II-ECSA	EPI_ISL_17456868
hChikV/Brazil/MT-Fiocruz-00068/2018	II-ECSA	EPI_ISL_17456869
hChikV/Brazil/MT-Fiocruz-00069/2018	II-ECSA	EPI_ISL_17456870
hChikV/Brazil/BA-Fiocruz-00071/2016	II-ECSA	EPI_ISL_17456871
hChikV/Brazil/MG-Fiocruz-00101/2018	II-ECSA	EPI_ISL_17456874
hChikV/Brazil/MT-Fiocruz-00060/2018	II-ECSA	EPI_ISL_17456876
hChikV/Brazil/RJ-Fiocruz-00019/2016	II-ECSA	EPI_ISL_17456879
hChikV/Brazil/un-Fiocruz-00005/2018	II-ECSA	EPI_ISL_17456882
hChikV/Brazil/un-Fiocruz-00002/2018	II-ECSA	EPI_ISL_17456890
hChikV/Brazil/un-Fiocruz-00009/2018	II-ECSA	EPI_ISL_17456900
hChikV/Brazil/un-Fiocruz-00010/2018	II-ECSA	EPI_ISL_17456901
hChikV/Brazil/RJ-Fiocruz-00037/2018	II-ECSA	EPI_ISL_17456904
hChikV/Brazil/un-Fiocruz-00004/2018	II-ECSA	EPI_ISL_17456911
hChikV/Brazil/un-Fiocruz-00008/2018	II-ECSA	EPI_ISL_17456912
hChikV/Brazil/RN-Fiocruz-00097/2019	II-ECSA	EPI_ISL_17456920
hChikV/Brazil/RN-Fiocruz-00096/2019	II-ECSA	EPI_ISL_17456921
hChikV/Brazil/RN-Fiocruz-00095/2019	II-ECSA	EPI_ISL_17456922
hChikV/Brazil/RN-Fiocruz-00093/2019	II-ECSA	EPI_ISL_17456924
hChikV/Brazil/RN-Fiocruz-00092/2019	II-ECSA	EPI_ISL_17456925
hChikV/Brazil/RN-Fiocruz-00091/2019	II-ECSA	EPI_ISL_17456926
hChikV/Brazil/MG-Fiocruz-00100/2018	II-ECSA	EPI_ISL_17456928
hChikV/Brazil/RJ-Fiocruz-00035/2018	II-ECSA	EPI_ISL_17456932
hChikV/Paraguay/Fiocruz-00082/2018	II-ECSA	EPI_ISL_17456934
hChikV/Paraguay/Fiocruz-00079/2018	II-ECSA	EPI_ISL_17456951
hChikV/Brazil/MG-Fiocruz-00107/2018	II-ECSA	EPI_ISL_17456962
hChikV/Brazil/MG-Fiocruz-00106/2017	II-ECSA	EPI_ISL_17456963
hChikV/Paraguay/Fiocruz-00083/2018	II-ECSA	EPI_ISL_17456972
hChikV/Brazil/MG-Fiocruz-00132/2021	II-ECSA	EPI_ISL_17456975
hChikV/Brazil/RJ-Fiocruz-00025/2018	II-ECSA	EPI_ISL_17456976
hChikV/Brazil/RJ-Fiocruz-00021/2017	II-ECSA	EPI_ISL_17456977
hChikV/Brazil/RJ-Fiocruz-00030/2018	II-ECSA	EPI_ISL_17456984
hChikV/Paraguay/Fiocruz-00081/2018	II-ECSA	EPI_ISL_17456987
hChikV/Paraguay/Fiocruz-00080/2018	II-ECSA	EPI_ISL_17456999
ChikV/un/China/GD-GCDC-00011/2010	II-ECSA	EPI_ISL_17457691
hChikV/China/GD-GMU-DG892/2010	II-ECSA	EPI_ISL_17457692
hChikV/China/GD-GMU-GZ3626/2010	II-ECSA	EPI_ISL_17457693
hChikV/China/GD-GMU-DG895/2010	II-ECSA	EPI_ISL_17457694
hChikV/China/GD-GMU-DG894/2010	II-ECSA	EPI_ISL_17457695
hChikV/China/GD-GMU-GZ1029/2010	II-ECSA	EPI_ISL_17457696
hChikV/China/GD-GMU-GZ0991/2010	II-ECSA	EPI_ISL_17457697
hChikV/China/GD-GMU-DG891/2010	II-ECSA	EPI_ISL_17457698
hChikV/China/GD-GMU-DG893/2010	II-ECSA	EPI_ISL_17457699
hChikV/China/HA-HPCDC-00001/2017	II-ECSA	EPI_ISL_17457701
hChikV/Laos/CIBU-55524ac8/2012	II-ECSA	EPI_ISL_17457850
hChikV/Laos/CIBU-922fb091/2012	II-ECSA	EPI_ISL_17457895
hChikV/Laos/CIBU-0698320f/2012	II-ECSA	EPI_ISL_17457896
hChikV/Laos/CIBU-c0ba25ba/2013	II-ECSA	EPI_ISL_17457897
hChikV/Laos/CIBU-01b4cd81/2013	II-ECSA	EPI_ISL_17457898
hChikV/Laos/CIBU-f3937c64/2013	II-ECSA	EPI_ISL_17457899
hChikV/Laos/CIBU-d19eafae/2012	II-ECSA	EPI_ISL_17457900
hChikV/Laos/CIBU-9625a36e/2013	II-ECSA	EPI_ISL_17457903
ChikV/mosquito/Laos/CIBU-ad0e5678/2012	II-ECSA	EPI_ISL_17457933
hChikV/Laos/CIBU-a0331f62/2013	II-ECSA	EPI_ISL_17457941
hChikV/Reunion/IP-a8f0fc78/2006	II-ECSA	EPI_ISL_17457942
hChikV/Reunion/IP-223/2005	II-ECSA	EPI_ISL_17457943
hChikV/Reunion/IP-72bae2eb/2006	II-ECSA	EPI_ISL_17457944
hChikV/Seychelles/IP-43848bf0/2006	II-ECSA	EPI_ISL_17457945
hChikV/Reunion/IP-5c3e00b0/2006	II-ECSA	EPI_ISL_17457946
hChikV/Reunion/IP-5c6f4600/2006	II-ECSA	EPI_ISL_17457947
hChikV/Madagascar/IP-166_1a32c5ab/2007	II-ECSA	EPI_ISL_17457948
hChikV/Reunion/IP-e5ba4b5e/2006	II-ECSA	EPI_ISL_17457949
hChikV/Central African Republic/IPB-00026_24c25ebf/1983	II-ECSA	EPI_ISL_17457974
ChikV/mosquito/Central African Republic/IPB-00016_cc93d050/1975	II-ECSA	EPI_ISL_17457975
ChikV/mosquito/Central African Republic/IPB-00017_78952d6c/1975	II-ECSA	EPI_ISL_17457976
hChikV/Central African Republic/IPB-HB84P07_ae664b0a/1983	II-ECSA	EPI_ISL_17457977
hChikV/Central African Republic/IPB-00010_a58b822d/1982	II-ECSA	EPI_ISL_17457978
ChikV/mosquito/Central African Republic/IPB-00005_f273f927/1981	II-ECSA	EPI_ISL_17457979
hChikV/Central African Republic/IPB-00025_3483a540/1982	II-ECSA	EPI_ISL_17457980
hChikV/Central African Republic/IPB-00013_1718d7e5/1984	II-ECSA	EPI_ISL_17457981
ChikV/mosquito/Central African Republic/IPB-00002_fceb95aa/1975	II-ECSA	EPI_ISL_17457982
ChikV/mosquito/Central African Republic/IPB-00003_f49d7198/1978	II-ECSA	EPI_ISL_17457983
ChikV/mosquito/Central African Republic/IPB-00007_75f6767f/1980	II-ECSA	EPI_ISL_17457984
ChikV/mosquito/Central African Republic/IPB-00006_6aeb608f/1981	II-ECSA	EPI_ISL_17457985
ChikV/mosquito/Central African Republic/IPB-00008_e996f497/1984	II-ECSA	EPI_ISL_17457986
ChikV/mosquito/Central African Republic/IPB-00009_a5810796/1984	II-ECSA	EPI_ISL_17457987
hChikV/Central African Republic/IPB-00011_d0d4c06c/1983	II-ECSA	EPI_ISL_17457988
ChikV/mosquito/Central African Republic/IPB-00024_abacc846/1984	II-ECSA	EPI_ISL_17457989
hChikV/Central African Republic/IPB-00014_e4b203a2/1984	II-ECSA	EPI_ISL_17457990
ChikV/mosquito/Central African Republic/IPB-00020_1267e2a0/1981	II-ECSA	EPI_ISL_17457991
ChikV/mosquito/Central African Republic/IPB-00021_1c803e30/1981	II-ECSA	EPI_ISL_17457992
ChikV/mosquito/Central African Republic/IPB-00018_4bb4a36a/1978	II-ECSA	EPI_ISL_17457993
ChikV/mosquito/Central African Republic/IPB-094466bc/1975	II-ECSA	EPI_ISL_17457994
ChikV/mosquito/Central African Republic/IPB-00022_b8ffc3b6/1980	II-ECSA	EPI_ISL_17457995
hChikV/Central African Republic/IPB-00029_11b43e46/1984	II-ECSA	EPI_ISL_17457996
ChikV/mosquito/Central African Republic/IPB-00001_fed9a874/1975	II-ECSA	EPI_ISL_17457997
ChikV/mosquito/Central African Republic/IPB-00019_f73fe9ca/1978	II-ECSA	EPI_ISL_17457998
hChikV/Central African Republic/IPB-00027_2ca8c9c4/1978	II-ECSA	EPI_ISL_17457999
hChikV/Central African Republic/IPB-00015_6964fd9e/1984	II-ECSA	EPI_ISL_17458000
hChikV/Central African Republic/IPB-00012_134f3987/1978	II-ECSA	EPI_ISL_17458001
hChikV/Central African Republic/IPB-00028_c9001a86/1984	II-ECSA	EPI_ISL_17458002
ChikV/mosquito/Central African Republic/IPB-00004_ca7a38ef/1978	II-ECSA	EPI_ISL_17458003
ChikV/mosquito/Central African Republic/IPB-00023_42211100/1984	II-ECSA	EPI_ISL_17458004
hChikV/Central African Republic/IPB-00030_f748bd3a/1984	II-ECSA	EPI_ISL_17458005
hChikV/Cambodia/IPC-4bba4bee/2011	II-ECSA	EPI_ISL_17458019
hChikV/Cambodia/IPC-44d439d7/2011	II-ECSA	EPI_ISL_17458020
hChikV/Cambodia/IPC-17bb1ea2/2011	II-ECSA	EPI_ISL_17458021
hChikV/Cambodia/IPC-50132537/2011	II-ECSA	EPI_ISL_17458022
hChikV/Cambodia/IPC-35de99e7/2011	II-ECSA	EPI_ISL_17458023
hChikV/Cambodia/IPC-347bcdf6/2011	II-ECSA	EPI_ISL_17458024
hChikV/Cambodia/IPC-db1b25e8/2011	II-ECSA	EPI_ISL_17458025
hChikV/Cambodia/IPC-cec597b1/2011	II-ECSA	EPI_ISL_17458026
hChikV/France/un-IP-8346038a/2005	II-ECSA	EPI_ISL_17458072
hChikV/France/un-IP-66e73471/2005	II-ECSA	EPI_ISL_17458073
hChikV/DRC/IMTSSA-6d980a2b/2000	II-ECSA	EPI_ISL_17458104
hChikV/Gabon/I-8849_06d48237/2007	II-ECSA	EPI_ISL_17458106
hChikV/DRC/IMTSSA-a9f75301/2000	II-ECSA	EPI_ISL_17458107
hChikV/DRC/IMTSSA-8d3f43e8/2000	II-ECSA	EPI_ISL_17458108
hChikV/Cameroon/IMTSSA-7079/2006	II-ECSA	EPI_ISL_17458109
hChikV/DRC/IMTSSA-305e3fea/2000	II-ECSA	EPI_ISL_17458113
hChikV/DRC/IMTSSA-afb68661/2000	II-ECSA	EPI_ISL_17458114
hChikV/DRC/IMTSSA-9506d006/2000	II-ECSA	EPI_ISL_17458115
hChikV/Gabon/I-8848_988b022d/2007	II-ECSA	EPI_ISL_17458116
hChikV/DRC/IMTSSA-cafc7a3d/2000	II-ECSA	EPI_ISL_17458118
hChikV/DRC/IMTSSA-5800542c/2000	II-ECSA	EPI_ISL_17458119
hChikV/Gabon/I-8847_f17a6f06/2007	II-ECSA	EPI_ISL_17458120
hChikV/DRC/IMTSSA-7ba57b64/2000	II-ECSA	EPI_ISL_17458121
